Date,Open,High,Low,Close
12/26/2020,618.87,651.83,616.05,647
12/25/2020,604.61,633.24,604.59,618.92
12/24/2020,597.37,609.95,550,605.1
12/23/2020,622.4,637.95,592.7,597.37
12/22/2020,618.41,634.13,587.85,622.83
12/21/2020,632.71,648,599.11,618.46
12/20/2020,666.53,666.88,631.38,634.8
12/19/2020,651.21,669,646.97,666.95
12/18/2020,641.05,663.74,630.01,651.36
12/17/2020,630,676.29,628.56,641.26
12/16/2020,589.03,632.64,581.5,629.38
12/15/2020,586.2,596.49,579.31,588.63
12/14/2020,591.71,592.78,576.06,586.06
12/13/2020,570.95,595,564.23,591.64
12/12/2020,549.44,571.84,543.5,570.91
12/11/2020,563.72,564.41,536.01,549.44
12/10/2020,575.91,577.51,548.29,563.66
12/09/2020,565.86,577.96,530.45,576.17
12/08/2020,588.47,594.99,560.39,566.01
12/07/2020,599.41,603.77,584.76,588.61
12/06/2020,592.21,607.36,584,599.42
12/05/2020,580.8,597.55,561.52,592.41
12/04/2020,615.43,620,578.74,581.81
12/03/2020,600,624,587.57,615.43
12/01/2020,605.59,636.31,568.32,604.51
11/30/2020,568.4,614.07,563.98,605.2
11/29/2020,544.02,569.83,531.6,566.54
11/28/2020,515.99,548.5,507.1,543.92
11/27/2020,515.1,530.8,494.37,515.87
11/26/2020,577.39,579.7,481.32,512.59
11/25/2020,600.08,606.39,574.77,578.49
11/24/2020,606.14,622.72,593,601.02
11/23/2020,572.66,608.47,551.12,606.93
11/22/2020,544.32,576.15,512.1,573.94
11/21/2020,509.05,545.45,503.66,544.31
11/20/2020,473,514.53,469.62,508.87
11/19/2020,474.59,481.99,465.52,472.98
11/18/2020,480.89,494.99,460.01,474.31
11/17/2020,459.66,484.9,458.46,480.99
11/16/2020,444.01,465.99,440.5,459.25
11/15/2020,460.06,463.95,442.01,444
11/14/2020,472.29,478.38,452.75,460.06
11/13/2020,463.2,474.85,458.39,472.28
11/12/2020,466.51,470,452.96,462.55
11/11/2020,452.69,476.54,450.02,467.16
11/10/2020,447.73,455,439.39,451.73
11/09/2020,450.2,459.49,434.8,447.9
11/08/2020,435.83,460.23,431,450.45
11/07/2020,445.54,468.14,425,435.58
11/06/2020,413.69,449.37,413.29,447.2
11/05/2020,401.79,418,396.95,413.65
11/04/2020,383.39,408.55,377.35,401.11
11/03/2020,385.66,385.89,371.02,383.35
11/02/2020,397.44,404.26,378.16,385.91
11/01/2020,387.94,397.24,385.07,396.63
10/31/2020,384.38,393.14,380.86,387.94
10/30/2020,389.06,392,374.06,384.31
10/29/2020,385.92,394.01,380.95,389.05
10/28/2020,403.41,409.03,381.1,385.94
10/27/2020,393,410.33,390.52,403.95
10/26/2020,407.8,411.28,383.44,392.9
10/25/2020,412,417.67,404.4,408.1
10/24/2020,409,416.49,407.55,412.01
10/23/2020,417.85,421.08,402.22,409.4
10/22/2020,395.17,419.57,390.9,417.8
10/21/2020,368.4,398.45,367.86,395.25
10/20/2020,379.65,380.72,367.06,368.66
10/19/2020,375.92,384.07,373.14,379.65
10/18/2020,367.12,377.18,367.12,375.92
10/17/2020,366.74,370.37,363.5,367.12
10/16/2020,380.56,380.56,362.72,366.6
10/15/2020,376.75,381.43,370.47,380.56
10/14/2020,380.24,387.34,373.5,376.73
10/13/2020,387.6,395.27,374.7,380.19
10/12/2020,373.27,389.42,365.75,387.64
10/11/2020,374.42,377.4,369.3,373.72
10/10/2020,364.05,378.24,363.28,374.58
10/09/2020,351.65,366,347.9,364.05
10/08/2020,340.51,353.06,334.81,351.65
10/07/2020,337.28,342.69,333.02,340.51
10/06/2020,351.99,355,337,337.25
10/05/2020,351.55,355.46,349.18,351.99
10/04/2020,349.07,354.45,344,351.55
10/03/2020,346.54,351.09,341.9,349.07
10/02/2020,351.61,354.1,335.4,346.32
